I think that’s him.,"Думаю, це він.",silicon_valley_0398.webm
"People refer to me as The Carver, but no one actually calls me that.","Люди називають мене The Carver, але ніхто насправді так мене не кличе.",silicon_valley_0399.webm
It’s what people call a screen name.,"Це те, що люди називають псевдонімом (нікнеймом).",silicon_valley_0400.webm
"Yes, so you guys are fucked, huh?","Так, схоже, ви, хлопці, у повній дупі, га?",silicon_valley_0401.webm
We have a live demo in one week and our cloud is in the shitter.,"У нас жива демонстрація через тиждень, а наша хмара в повній сраці.",silicon_valley_0402.webm
Yikes.,Йой.,silicon_valley_0403.webm
No one offered ten million dollars to acquire Gittawonk.,"Ніхто не пропонував десять мільйонів доларів, щоб купити Gittawonk.",silicon_valley_0404.webm
"Yeah, I agree with Richard, you should come work for us.","Так, я згоден із Річардом, тобі варто працювати з нами.",silicon_valley_0405.webm
"What’s it gonna take, a blow-job?",Що для цього потрібно — мінет?,silicon_valley_0406.webm
"Now you make me laugh, shaggy man.","Тепер ти мене смішиш, волохатий чоловіче.",silicon_valley_0407.webm
"All right, I’m in. I’ll see you guys Friday.","Гаразд, я в справі. Побачимося в п’ятницю.",silicon_valley_0408.webm
"Whole thing’s a scam, little scumbags.","Усе це шахрайство, дрібні покидьки.",silicon_valley_0409.webm
"Tara, this is the fellas","Таро, це хлопці.",silicon_valley_0410.webm
"Richard, I just need you to approve Kevin’s fee.","Річарде, мені потрібно, щоб ти затвердив гонорар Кевіна.",silicon_valley_0411.webm
Twenty thousand dollars for two days.,Двадцять тисяч доларів за два дні.,silicon_valley_0412.webm
Are you OK over there? You have any questions…?,У тебе там усе гаразд? Є якісь запитання…?,silicon_valley_0413.webm
Why do you keep your lips pressed so tight together when you’re not talking?,"Чому ти так міцно стискаєш губи, коли мовчиш?",silicon_valley_0414.webm
So how did you bypass Bank of America’s network security?,То як ти обійшов мережевий захист Bank of America?,silicon_valley_0415.webm
My lawyers told me I’m not allowed to discuss it.,"Мої юристи сказали, що мені не можна це обговорювати.",silicon_valley_0416.webm
Totally get it. That’s baller.,Повністю розумію. Це круто.,silicon_valley_0417.webm
"All right, I’m gonna go have a shower.","Гаразд, я піду прийму душ.",silicon_valley_0418.webm
"Uh, what was that?","Е-е, що це було?",silicon_valley_0419.webm
It’s the opposite of jealousy.,Це протилежність ревнощів.,silicon_valley_0420.webm
It sounds like it’s the opposite of normal.,"Звучить так, ніби це протилежність нормальному.",silicon_valley_0421.webm
Why are you telling me about this thing?,Навіщо ти мені про це розповідаєш?,silicon_valley_0422.webm
Tara is attracted to you.,Тара відчуває до тебе потяг.,silicon_valley_0423.webm
"Yeah, freaked me out too","Так, мене це теж налякало.",silicon_valley_0424.webm
I don’t want to have a threesome with you.,Я не хочу займатися сексом утрьох із тобою.,silicon_valley_0425.webm
"Listen, I don’t even have to be in the room","Слухай, мені навіть не обов’язково бути в кімнаті.",silicon_valley_0426.webm
"Right, so we’re all settled then.","Чудово, отже, усе вирішено.",silicon_valley_0427.webm
Peter’s not really big on walking.,Пітер не дуже любить ходити пішки.,silicon_valley_0428.webm
Driverless car.,Безпілотний автомобіль.,silicon_valley_0429.webm
Select destination,Оберіть пункт призначення.,silicon_valley_0430.webm
"I’m going to 5230 Newell Road, Palo Alto.","Я їду за адресою 5230 Newell Road, Пало-Альто.",silicon_valley_0431.webm
"Buckle up, please.","Будь ласка, пристебніться.",silicon_valley_0432.webm
